Série,Tome,Titre,Sous-titre,Auteurs,Editeurs
Long John Silver,1,Lady Viviane Hastings,,"Dorison, Lauffray",Dargaud
Long John Silver,2,Neptune,,"Dorison, Lauffray",Dargaud
Long John Silver,3,Le Labyrinthe d’Émeraude,,"Dorison, Lauffray",Dargaud
Sherman,1,La promesse. New York,,"Griffo, Desberg",Lombard
Sherman,2,L'ascension. Wall Street,,"Griffo, Desberg",Lombard
Sherman,3,La passion. Lana,,"Griffo, Desberg",Lombard
Sherman,4,Le piège. Bayreuth,,"Griffo, Desberg",Lombard
Ballade au bout du monde,1,La prison,,"Makyo, Vicomte",Glénat
Ballade au bout du monde,2,Le grand pays,,"Makyo, Vicomte",Glénat
Ballade au bout du monde,3,Le batard,,"Makyo, Vicomte",Glénat
Ballade au bout du monde,4,La pierre de folie,,"Makyo, Vicomte",Glénat
Ballade au bout du monde,5,Ariane,,"Makyo, Herenguel",Glénat
Ballade au bout du monde,6,A-KA-THA,,"Makyo, Herenguel",Glénat
Ballade au bout du monde,7,La voie des maîtres,,"Makyo, Herenguel",Glénat
Ballade au bout du monde,8,Maharani,,"Makyo, Herenguel",Glénat
Ballade au bout du monde,9,Les véritables,,"Makyo, Faure",Glénat
Ballade au bout du monde,10,Blanche,,"Makyo, Faure",Glénat
Ballade au bout du monde,11,Rabal le guérisseur,,"Makyo, Faure",Glénat
Ballade au bout du monde,12,L'oeil du poisson,,"Makyo, Faure",Glénat
Cuervos,1,Le contrat,,"Marazano, Durand",Glénat
Cuervos,2,Sicaire de la Sainte Coke,,"Marazano, Durand",Glénat
Cuervos,3,L'Ange des Maudits,,"Marazano, Durand",Glénat
Cuervos,4,Requiem,,"Marazano, Durand",Glénat
Le village qui s'amenuise,0,Le village qui s'amenuise,,"Corbeyran, Balez",Dargaud
La geste des Chevaliers Dragons,1,Jaïna,,"Ange, Varanda",Vents d'Ouest
La geste des Chevaliers Dragons,2,Akanah,,"Ange, Briones",Soleil
La geste des Chevaliers Dragons,3,Le pays de non-vie,,"Ange, Guinebaud",Soleil
La geste des Chevaliers Dragons,4,Brisken,,"Ange, Briones",Soleil
La geste des Chevaliers Dragons,5,Les jardins du palais,,"Ange, Paty",Soleil
La geste des Chevaliers Dragons,6,Par-delà les montagnes,,"Ange, Sieurac",Soleil
La geste des Chevaliers Dragons,7,Revoir le soleil,,"Ange, Démarez",Soleil
La geste des Chevaliers Dragons,9,Aveugles,,"Ange, Ruizgé",Soleil
La geste des Chevaliers Dragons,11,Toutes les mille et une lunes,,"Ange, Looky",Soleil
La geste des Chevaliers Dragons,12,Ellys,,"Ange, Cossu",Soleil
La geste des Chevaliers Dragons,13,Salmyre,,"Ange, Vax",Soleil
Chevaliers Dragons,0,Chevaliers Dragons,,"Ange, Dohé",Soleil
Tendre banlieue,14,Appel au calme,,Tito,Casterman
Génération collège,1,Dakota,,Denayer,Lombard
Génération collège,2,Mary-Lee,,Denayer,Lombard
Génération collège,3,Phoenix,,Denayer,Lombard
Génération collège,4,Texas,,Denayer,Lombard
Génération collège,5,Black,,Denayer,Lombard
James Healer,1,Camden Rock,,"Swolfs, De Vita",Lombard
James Healer,2,La nuit du cobra,,"Swolfs, De Vita",Lombard
James Healer,3,La montagne sacrée,,"Swolfs, De Vita",Lombard
L'arche,1,Projet Sherwood,,"Félix, Mallié, Rieu",Soleil
L'arche,2,Frankenstein,,"Félix, Mallié, Rieu",Soleil
L'arche,3,S.E.T.I,,"Félix, Mallié, Rieu",Soleil
Alpha,1,L'échange,,"Jigounov, Renard",Lombard
Alpha,2,Clan Bogdanov,,"Jigounov, Renard",Lombard
Alpha,3,Le salaire des loups,,"Jigounov, Mythic",Lombard
Alpha,4,La liste,,"Jigounov, Mythic",Lombard
Alpha,5,Sanctions,,"Jigounov, Mythic",Lombard
Alpha,6,L'émissaire,,"Jigounov, Mythic",Lombard
Alpha,7,"Snow White, 30 secondes !",,"Jigounov, Mythic",Lombard
Alpha,8,Jeux de puissants,,"Jigounov, Mythic",Lombard
Alpha,9,Scala,,"Jigounov, Mythic",Lombard
Alpha,10,Mensonges,Dossier,"Jigounov, Mythic",Lombard
Alpha,11,Fucking patriot,,"Jigounov, Renard",Lombard
Enchainés,1,Le tentateur,,"Callède, Gihef",Vents d'Ouest
Enchainés,2,Le corrupteur,,"Callède, Gihef",Vents d'Ouest
Enchainés,3,Le diviseur,,"Callède, Gihef",Vents d'Ouest
Enchainés,4,Le menteur,,"Callède, Gihef",Vents d'Ouest
Enchainés,5,Tourments,Saison 2,"Callède, Gihef",Vents d'Ouest
Enchainés,6,Egarements,Saison 2,"Callède, Gihef",Vents d'Ouest
Enchainés,7,Châtiments,Saison 2,"Callède, Gihef",Vents d'Ouest
Dans la nuit,1,Légion,,"Callède, Denys",Delcourt
Le maître de jeu,1,Testament,,"Corbeyran, Charlet",Delcourt
Le maître de jeu,2,Prémonition,,"Corbeyran, Charlet",Delcourt
Le maître de jeu,3,Matrice,,"Corbeyran, Charlet",Delcourt
Le maître de jeu,4,Descendance,,"Corbeyran, Charlet",Delcourt
Le maître de jeu,5,Ennemi,,"Corbeyran, Horne, Nardin",Delcourt
Le maître de jeu,6,Rêves de sang,,"Corbeyran, Horne, Nardin",Delcourt
Dieu,1,A corps perdu,,"Karl T., Marie",Dupuis
Dieu,2,A coeur ouvert,,"Karl T., Marie",Dupuis
La femme accident,1,Première partie,,"Grenson, Lapiere",Dupuis
La femme accident,2,Deuxième partie,,"Grenson, Lapiere",Dupuis
Rani,1,Bâtarde,,"Van Hamme, Alcante, Vallès",Lombard
Rani,2,Brigande,,"Van Hamme, Alcante, Vallès",Lombard
L'ombre du cinéphage,1,Fondu au noir,Bobine 1,"Gaudin, Gnoni",Soleil
L'ombre du cinéphage,2,Flash-back,Bobine 2,"Gaudin, Gnoni",Soleil
IAN,1,Un singe électrique,,"Meyer, Vehlmann",Dargaud
IAN,2,Leçon de ténébres,,"Meyer, Vehlmann",Dargaud
IAN,3,Blitzkrieg,,"Meyer, Vehlmann",Dargaud
IAN,4,Métanoïa,,"Meyer, Vehlmann",Dargaud
Le légataire,1,Le rendez-vous de Glasgow,,"Giroud, Béhé, Meyer",Glénat
Le légataire,2,Le songe de Médine,,"Giroud, Béhé, Meyer",Glénat
Le légataire,3,Le Labyrinthe de Thot,,"Giroud, Béhé, Meyer",Glénat
Le légataire,4,Le cardinal,,"Giroud, Béhé, Meyer",Glénat
Le légataire,5,Le testament du prophète,,"Giroud, Béhé, Meyer",Glénat
Le triangle secret,1,Le testament du fou,,"Convard, Falque, Gine, Chaillet, Paul, Wachs",Glénat
Le triangle secret,2,Le jeune homme au suaire,,"Convard, Falque, Gine, Stalner, Paul, Wachs",Glénat
Le triangle secret,3,De cendre et d'or,,"Convard, Falque, Gine, Kraehn, Paul, Wachs",Glénat
Le triangle secret,4,L'Evangile oublié,,"Convard, Falque, Gine, Jusseaume, Paul, Wachs",Glénat
Le triangle secret,5,L'Infâme mensonge,,"Convard, Falque, Gine, Juillard, Paul, Wachs",Glénat
Le triangle secret,6,La parole perdue,,"Convard, Falque, Gine, Juillard, Paul, Wachs",Glénat
Le triangle secret,7,L'imposteur,,"Convard, Falque, Gine, Juillard, Paul, Wachs",Glénat
