Série,Tome,Titre,Sous-titre,Auteurs,Editeurs
Mattéo,2,Première époque (1917-1918),,Gibrat,Futuropolis
Les conquérants de Troy,1,Exil à Port-Fleuri,,"Arlestion, Tota, Lamirand",Soleil
Les conquérants de Troy,2,Eckmül le bûcheron,,"Arlestion, Tota, Lamirand",Soleil
Les conquérants de Troy,3,La bataille de Port-Fleuri,,"Arlestion, Tota, Lamirand",Soleil
S.P.E.E.D Angels,1,Jour J,,"Tarquin, Valente, Pop",Soleil
Arawn,1,Bran le maudit,,"Le Breton, Grenier",Soleil
Arawn,2,Les liens du sang,,"Le Breton, Grenier",Soleil
Arawn,3,La bataille de Cad Goddun,,"Le Breton, Grenier",Soleil
Arawn,4,Le chaudron de sang,,"Le Breton, Grenier",Soleil
Arawn,5,Résurrection,,"Le Breton, Grenier",Soleil
Sortilèges,1,Livre 1,,"Dufaux, Munuera, Sédyas",Dargaud
HSE,1,Tome 1,Human Stock Exchange,"Dorison, Allart",Dargaud
Walking DEAD,17,Terrifiant,,"Kirkman, Adlard",Delcourt
Isabelle - La louve de France,1,Volume 1/2,,"Gloris, Calderon",Delcourt
Aliénor - La légende noire,1,Volume 1/3,,"Delalande, Mogavino, Gomez",Delcourt
Le téléscope,0,Tome 1,,"Van Hamme, Teng",Casterman
Bad Ass,1,Dead end,,"Hanna, Bessadi, Georges",Delcourt
